SoC,OCV,R0,R1,R2,C1,C2,Tau1,Tau2
57.829,52.28109636715633,0.0561227825338948,0.0407420519989311,0.0295820505757277,610.7628040520299,7028.663682895183,24.084323319689094,227.97210266986457
57.83,52.281107096154095,0.056122010176586,0.0407423672091635,0.0295826577894877,610.7604020269729,7028.576704588184,24.08452427222892,227.9735798510335
57.831,52.28111782598407,0.0561212378416781,0.0407426824380016,0.0295832650921028,610.7579997094491,7028.489718673198,24.084725241713816,227.9750571372382
57.832,52.281128556646266,0.0561204655291846,0.0407429976854405,0.029583872483568,610.7555970994586,7028.402725150226,24.08492622814044,227.97653452844656
57.833,52.2811392881407,0.0561196932391193,0.0407433129514748,0.0295844799638782,610.7531941970013,7028.315724019267,24.08512723150545,227.97801202462657
57.834,52.281150020467365,0.0561189209714958,0.0407436282360994,0.0295850875330282,610.7507910020773,7028.228715280321,24.085328251805507,227.9794896257461
57.835,52.28116075362629,0.0561181487263278,0.0407439435393092,0.0295856951910129,610.7483875146867,7028.141698933389,24.085529289037268,227.9809673317733
57.836,52.28117148761747,0.056117376503629,0.040744258861099,0.0295863029378273,610.7459837348292,7028.054674978471,24.08573034319739,227.98244514267583
57.837,52.281182222440925,0.0561166043034131,0.0407445742014636,0.0295869107734663,610.7435796625051,7027.967643415565,24.08593141428253,227.98392305842188
57.838,52.28119295809665,0.0561158321256936,0.0407448895603978,0.0295875186979247,610.7411752977142,7027.880604244673,24.08613250228934,227.9854010789792
57.839,52.28120369458466,0.0561150599704843,0.0407452049378965,0.0295881267111975,610.7387706404567,7027.793557465796,24.08633360721448,227.98687920431584
57.84,52.28121443190497,0.0561142878377989,0.0407455203339544,0.0295887348132796,610.7363656907323,7027.70650307893,24.086534729054605,227.9883574343997
57.841,52.28122517005756,0.056113515727651,0.0407458357485665,0.0295893430041659,610.7339604485412,7027.619441084079,24.086735867806368,227.98983576919855
57.842,52.28123590904248,0.0561127436400543,0.0407461511817275,0.0295899512838512,610.7315549138834,7027.532371481241,24.086937023466422,227.9913142086805
57.843,52.28124664885971,0.0561119715750224,0.0407464666334322,0.0295905596523304,610.729149086759,7027.4452942704165,24.087138196031425,227.9927927528134
57.844,52.28125738950927,0.0561111995325692,0.0407467821036756,0.0295911681095986,610.7267429671678,7027.358209451606,24.087339385498023,227.99427140156516
57.845,52.28126813099117,0.0561104275127081,0.0407470975924523,0.0295917766556504,610.7243365551099,7027.2711170248085,24.087540591862883,227.9957501549036
57.846,52.2812788733054,0.056109655515453,0.0407474130997573,0.029592385290481,610.7219298505852,7027.184016990025,24.08774181512264,227.9972290127968
57.847,52.28128961645201,0.0561088835408175,0.0407477286255853,0.029592994014085,610.7195228535937,7027.096909347254,24.087943055273964,227.99870797521243
57.848,52.28130036043096,0.0561081115888152,0.0407480441699312,0.0295936028264575,610.7171155641356,7027.009794096497,24.08814431231349,228.00018704211857
57.849,52.281311105242274,0.05610733965946,0.0407483597327898,0.0295942117275934,610.7147079822108,7026.922671237753,24.08834558623788,228.00166621348305
57.85,52.28132185088597,0.0561065677527653,0.0407486753141559,0.0295948207174874,610.7123001078191,7026.835540771023,24.088546877043783,228.0031454892737
57.851,52.28133259736207,0.056105795868745,0.0407489909140243,0.0295954297961346,610.7098919409609,7026.748402696307,24.08874818472785,228.00462486945844
57.852,52.28134334467055,0.0561050240074126,0.0407493065323899,0.0295960389635298,610.7074834816359,7026.661257013603,24.08894950928673,228.00610435400512
57.853,52.28135409281144,0.056104252168782,0.0407496221692474,0.0295966482196679,610.7050747298441,7026.574103722913,24.089150850717072,228.00758394288167
57.854,52.28136484178474,0.0561034803528668,0.0407499378245917,0.0295972575645437,610.7026656855857,7026.486942824237,24.089352209015527,228.0090636360559
57.855,52.28137559159047,0.0561027085596806,0.0407502534984177,0.0295978669981522,610.7002563488605,7026.399774317574,24.089553584178734,228.0105434334957
57.856,52.281386342228615,0.0561019367892371,0.04075056919072,0.0295984765204883,610.6978467196685,7026.312598202924,24.089754976203363,228.0120233351689
57.857,52.281397093699205,0.0561011650415501,0.0407508849014937,0.0295990861315468,610.69543679801,7026.225414480288,24.08995638508604,228.01350334104345
57.858,52.28140784600224,0.0561003933166333,0.0407512006307333,0.0295996958313227,610.6930265838845,7026.138223149666,24.090157810823424,228.01498345108703
57.859,52.28141859913773,0.0560996216145002,0.0407515163784339,0.0296003056198107,610.6906160772925,7026.051024211057,24.09035925341216,228.0164636652676
57.86,52.281429353105686,0.0560988499351647,0.0407518321445901,0.0296009154970059,610.6882052782336,7025.963817664461,24.09056071284889,228.01794398355304
57.861,52.281440107906114,0.0560980782786404,0.0407521479291968,0.029601525462903,610.6857941867081,7025.87660350988,24.090762189130277,228.01942440591108
57.862,52.28145086353902,0.056097306644941,0.0407524637322489,0.029602135517497,610.6833828027158,7025.789381747311,24.09096368225294,228.02090493230963
57.863,52.28146162000443,0.0560965350340802,0.0407527795537411,0.0296027456607827,610.6809711262568,7025.702152376755,24.091165192213545,228.0223855627165
57.864,52.28147237730232,0.0560957634460717,0.0407530953936683,0.0296033558927551,610.678559157331,7025.614915398213,24.09136671900873,228.0238662970995
57.865,52.28148313543272,0.0560949918809291,0.0407534112520252,0.0296039662134089,610.6761468959386,7025.527670811685,24.091568262635143,228.02534713542644
57.866,52.28149389439564,0.0560942203386663,0.0407537271288067,0.0296045766227392,610.6737343420795,7025.4404186171705,24.09176982308942,228.0268280776652
57.867,52.28150465419108,0.0560934488192968,0.0407540430240075,0.0296051871207406,610.6713214957535,7025.353158814669,24.09197140036821,228.02830912378352
57.868,52.281515414819054,0.0560926773228344,0.0407543589376226,0.0296057977074083,610.668908356961,7025.26589140418,24.09217299446816,228.02979027374928
57.869,52.28152617627957,0.0560919058492928,0.0407546748696467,0.0296064083827369,610.6664949257016,7025.178616385707,24.092374605385903,228.0312715275302
57.87,52.28153693857264,0.0560911343986857,0.0407549908200746,0.0296070191467214,610.6640812019755,7025.091333759246,24.09257623311809,228.03275288509417
57.871,52.28154770169826,0.0560903629710268,0.0407553067889011,0.0296076299993567,610.6616671857827,7025.004043524797,24.09277787766137,228.0342343464089
57.872,52.28155846565644,0.0560895915663298,0.0407556227761211,0.0296082409406376,610.6592528771232,7024.916745682363,24.092979539012365,228.0357159114423
57.873,52.2815692304472,0.0560888201846083,0.0407559387817293,0.029608851970559,610.656838275997,7024.829440231943,24.09318121716773,228.0371975801621
57.874,52.28157999607056,0.0560880488258761,0.0407562548057206,0.0296094630891157,610.6544233824039,7024.742127173536,24.0933829121241,228.038679352536
